OUTPUT

Lexeme          Line Number             Token
void            1               Keyword
int             2               Keyword
a               2               Identifier, 1
b               2               Identifier, 2
c               2               Identifier, 3
=               2               Arithmetic Operator, EQ
char            3               Keyword
ch              3               Identifier, 4
a               4               Identifier, 1
=               4               Arithmetic Operator, EQ
b               4               Identifier, 2
+               4               Arithmetic Operator, AD
c               4               Identifier, 3
if              5               Keyword
a               5               Identifier, 1
<=              5               Relational Operator, LE
b               5               Identifier, 2
a               6               Identifier, 1
=               6               Arithmetic Operator, EQ
b               6               Identifier, 2
printf          7               Keyword
